FULL NAME,BORN,AGE,DIED,PHYSICAL,POSITION
Llewellyn Simpkin Hook,"Thursday, 4 May 1905 in Puni, New Zealand",,"Saturday, 4 August 1979 in Auckland",63kg,Three-quarter
Andrew Keith Hore,"Wednesday, 13 September 1978 in Dunedin, New Zealand",40,,115kg,Hooker
John Alan Hooper,"Thursday, 20 November 1913 in Christchurch, New Zealand",,"Wednesday, 21 April 1976 in Sydney, Australia",70kg,Second five-eighth
Aaron Remana Hopa,"Saturday, 13 November 1971 in Hamilton, New Zealand",,"Tuesday, 8 December 1998 in Sea, off Coromandal Peninsula",98kg,Loose Forward
Alister Ernest Hopkinson,"Friday, 30 May 1941 in Mosgiel, New Zealand",,"Sunday, 17 January 1999 in Christchurch",103kg,Prop
John Hore,"Friday, 9 August 1907 in Dunedin, New Zealand",,"Saturday, 7 July 1979 in Dunedin",82kg,Hooker and Prop
Ronald Hugh Horsley,"Monday, 4 July 1932 in Wellington, New Zealand",,"Thursday, 20 December 2007 in Rotorua",101kg,Lock
John Hotop,"Saturday, 7 December 1929 in Alexandra, New Zealand",,"Sunday, 30 August 2015 in Hamilton",75kg,First five-eighth
Shane Paul Howarth,"Monday, 8 July 1968 in Auckland, New Zealand",50,,82kg,Fullback
James Howden,"Saturday, 25 August 1900 in Glasgow, Scotland",,"Sunday, 12 March 1978 in Waimate",,Hooker
Douglas Charles Howlett,"Thursday, 21 September 1978 in Auckland, New Zealand",40,,93kg,Wing
Arthur Maitland Hughes,"Saturday, 11 October 1924 in Auckland, New Zealand",,"Monday, 20 June 2005 in North Shore",87kg,Hooker
Daniel John Hughes,"Sunday, 19 September 1869 in Patea, New Zealand",,"Sunday, 11 February 1951 in Hawera",,Hooker
Edward Hughes,"Tuesday, 26 April 1881 in Invercargill, New Zealand",,"Tuesday, 1 May 1928 in New South Wales",76kg,Hooker
Laurence Clifford Hullena,"Tuesday, 24 August 1965 in Masterton, New Zealand",53,,105kg,Prop
George William Humphreys,"Tuesday, 15 March 1870 in Wolverhampton, England",,"Thursday, 11 May 1933 in Rotorua",,Loose Forward
Arthur Larwill Humphries,"Sunday, 15 February 1874 in New Plymouth, New Zealand",,"Monday, 13 April 1953 in Wanganui",,Halfback
Dillon Hunt,"Thursday, 23 February 1995 in Takapuna, New Zealand",23,,102kg,Flanker
Bruce Anthony Hunter,"Saturday, 16 September 1950 in Oamaru, New Zealand",68,,70kg,Wing three-quarter
James Hunter,"Thursday, 6 March 1879 in Hawera, New Zealand",,"Friday, 14 December 1962 in Wanganui",73kg,Second five-eighth
Ian Archibald Hurst,"Monday, 27 August 1951 in Oamaru, New Zealand",67,,86kg,Second five-eighth and centre three-quarter
Namulauulu Alama Ieremia,"Tuesday, 27 October 1970 in Motootua, Samoa",48,,100kg,Second five-eighth and centre three-quarter
Karl Donald Ifwersen,"Friday, 6 January 1893 in Auckland, New Zealand",,"Friday, 19 May 1967 in Auckland",76kg,Second five-eighth
Craig Ross Innes,"Wednesday, 10 September 1969 in New Plymouth, New Zealand",49,,82kg,Centre three-quarter and wing three-quarter
Gordon Donald Innes,"Thursday, 8 September 1910 in Dunedin, New Zealand",,"Friday, 6 November 1992 in Christchurch",82kg,Second five-eighth
Akira Latrell Ioane,"Friday, 16 June 1995",23,,113kg,Loose Forwad
Rieko Edward Ioane,"Tuesday, 18 March 1997 in Auckland, New Zealand",21,,102kg,Wing
Ian Bruce Irvine,"Wednesday, 6 March 1929 in Carterton, New Zealand",,"Tuesday, 5 November 2013 in Whangarei",,Hooker
John Gilbert Irvine,"Sunday, 1 July 1888 in Dunedin, New Zealand",,"Saturday, 10 June 1939 in Queenstown",,Lock
William Richard Irvine,"Friday, 2 December 1898 in Auckland, New Zealand",,"Saturday, 26 April 1952 in Whangarei",83kg,Hooker
Mark William Irwin,"Sunday, 10 February 1935 in Gisborne, New Zealand",,"Saturday, 30 June 2018 in Rotorua",103kg,Prop
Frederick Elder Birbeck Ivimey,"Sunday, 28 March 1880 in London, England",,"Wednesday, 6 December 1961 in Christchurch",,Loose Forward
Christopher Raymond Jack,"Tuesday, 5 September 1978 in Christchurch, New Zealand",40,,115kg,Lock
Everard Stanley Jackson,"Monday, 12 January 1914 in Hastings, New Zealand",,"Saturday, 20 September 1975 in Hastings",83kg,Prop
Hohepa Jacob,"Friday, 16 November 1894 in Levin, New Zealand",,"Monday, 30 May 1955 in Palmerston North",,Wing forward and loose forward
John Phillip le Grande Jacob,"Saturday, 19 May 1877 in Marton, New Zealand",,"Wednesday, 3 November 1909 in Stratford",,Wing three-quarter
John Lyndon Jaffray,"Monday, 17 April 1950 in Dunedin, New Zealand",68,,81kg,Five-eighth
Mervyn William Rutherford Jaffray,"Tuesday, 18 January 1949 in Dunedin, New Zealand",70,,90kg,Flanker and Number 8
Cory Steven Jane,"Tuesday, 8 February 1983 in Wellington, New Zealand",36,,91kg,Wing/Fullback
Ronald Alexander Jarden,"Saturday, 14 December 1929 in Lower Hutt, New Zealand",,"Friday, 18 February 1977 in Lower Hutt",81kg,Wing three-quarter
Andrew Charles Reeves Jefferd,"Saturday, 13 June 1953 in Gisborne, New Zealand",65,,83kg,Second five-eighth
Arthur Grahn Jennings,"Saturday, 15 June 1940 in Lautoka, Fiji",78,,95kg,Lock
Francis Mahon Jervis,"Monday, 26 December 1870 in Auckland, New Zealand",,"Saturday, 20 December 1952 in Lower Hutt",,Wing three-quarter
Evan Morgan Jessep,"Tuesday, 11 October 1904 in Sydney, Australia",,"Monday, 10 January 1983 in Sydney, Australia",89kg,Hooker and Prop
Peter Arthur Johns,"Thursday, 16 March 1944 in New Plymouth, New Zealand",74,,83kg,Five-eighth and Fullback
Launcelot Matthew Johnson,"Monday, 9 August 1897 in Lumsden, New Zealand",,"Tuesday, 11 January 1983 in Christchurch",74kg,Five-eighth
David Johnston,"Tuesday, 24 March 1903 in Okaiawa, New Zealand",,"Tuesday, 5 July 1938 in New Plymouth",68kg,Five-eighth
William Johnston,"Tuesday, 13 September 1881 in Dunedin, New Zealand",,"Tuesday, 9 January 1951 in Sydney, Australia",85kg,Loose Forward
Bradley Ronald Johnstone,"Sunday, 30 July 1950 in Auckland, New Zealand",68,,102kg,Prop
