FULL NAME,BORN,AGE,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,SUPER RUGBY TEAM,NICKNAME,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK CAPTAINCY,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK CAPTAINCY,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,
Llewellyn Simpkin Hook,"Thursday, 4 May 1905 in Puni, New Zealand","Saturday, 4 August 1979 in Auckland","1.70m, 63kg",Three-quarter,Thames High,Ponsonby,Auckland,"Wednesday, 5 September 1928v N.S.W. at Wellingtonaged 23 years, 124 days","Saturday, 6 July 1929v Australia at Sydneyaged 24 years, 63 days","Saturday, 27 July 1929v Australia at Sydneyaged 24 years, 84 days",3 3,9 9,12 12,Jersey Number 8 : 1 Jersey Number 13 : 1 Jersey Number 14 : 1,1 as Captain,0pts,"7pts (1t, 2c, 0p, 0dg, 0m)","7pts (1t, 2c, 0p, 0dg, 0m)",350,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,SUPER RUGBY TEAM,NICKNAME,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK CAPTAINCY,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,
Andrew Keith Hore,"Wednesday, 13 September 1978 in Dunedin, New Zealand",40,"1.83m, 115kg",Hooker,John McGlashan College,Spotswood United,Taranaki,Highlanders,Horey,"Saturday, 9 November 2002v England at Londonaged 24 years, 57 days","Saturday, 9 November 2002v England at Londonaged 24 years, 57 days","Sunday, 24 November 2013v Ireland at Dublinaged 35 years, 72 days",83 (36 as a substitute) 83,0 0,83 (36 as a substitute) 83,Jersey Number 2 : 47 Jersey Number 16 : 36,1 as Captain,"40pts (8t, 0c, 0p, 0dg, 0m)",0pts,"40pts (8t, 0c, 0p, 0dg, 0m)",1019,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
John Alan Hooper,"Thursday, 20 November 1913 in Christchurch, New Zealand","Wednesday, 21 April 1976 in Sydney, Australia","1.78m, 70kg",Second five-eighth,Unknown,Sunnyside,Canterbury,"Saturday, 14 August 1937v South Africa at Wellingtonaged 23 years, 267 days","Saturday, 14 August 1937v South Africa at Wellingtonaged 23 years, 267 days","Saturday, 25 September 1937v South Africa at Aucklandaged 23 years, 309 days",3 3,4 4,7 7,Jersey Number 12 : 3,0pts,"9pts (3t, 0c, 0p, 0dg, 0m)","9pts (3t, 0c, 0p, 0dg, 0m)",432,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,,,,
Aaron Remana Hopa,"Saturday, 13 November 1971 in Hamilton, New Zealand","Tuesday, 8 December 1998 in Sea, off Coromandal Peninsula","1.93m, 98kg",Loose Forward,Fairfield College,Taupiri,Waikato,"Tuesday, 11 November 1997v Wales 'A' at Pontypriddaged 25 years, 363 days",0 0,4 (3 as a substitute) 4,4 (3 as a substitute) 4,,"5pts (1t, 0c, 0p, 0dg, 0m)","5pts (1t, 0c, 0p, 0dg, 0m)",967,,,,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Alister Ernest Hopkinson,"Friday, 30 May 1941 in Mosgiel, New Zealand","Sunday, 17 January 1999 in Christchurch","1.89m, 103kg",Prop,South Otago High,Cheviot,Canterbury,"Wednesday, 18 October 1967v Eastern Canada at Montrealaged 26 years, 141 days","Saturday, 2 December 1967v Scotland at Edinburghaged 26 years, 186 days","Saturday, 29 August 1970v South Africa at Port Elizabethaged 29 years, 91 days",9 9,26 26,35 35,Jersey Number 1 : 8 Jersey Number 3 : 1,0pts,"12pts (4t, 0c, 0p, 0dg, 0m)","12pts (4t, 0c, 0p, 0dg, 0m)",663,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
